word,kelas,panjang,definisi,clue
PELAMPUNG,benda,9,tumbuhan ambung-ambung,
ARKEOLOGI,benda,9,"ilmu tentang kehidupan dan kebudayaan zaman kuno berdasarkan benda peninggalannya, seperti",
OTORISASI,benda,9,pemberian kekuasaan; pemberian kuasa,
DEKLARASI,benda,9,pernyataan ringkas dan jelas (tentang suatu hal),
ORIENTASI,benda,9,"pandangan yang mendasari pikiran, perhatian atau kecenderungan",
PRASANGKA,benda,9,"pendapat (anggapan) yang kurang baik mengenai sesuatu sebelum mengetahui (menyaksikan, men",
SEJARAWAN,benda,9,ahli sejarah; penulis sejarah,
VENEZUELA,benda,9,"negara yang terletak di Amerika Selatan, beribu kota Karakas",
DIAGNOSIS,benda,9,pemeriksaan terhadap suatu hal,
EJAKULASI,benda,9,pemancaran ke luar (tentang mani) dari lubang zakar,
DETONATOR,benda,9,zat atau bahan yang dapat menyebabkan terjadinya ledakan,
MILIMETER,benda,9,"satuan ukuran panjang sama dengan 0,001 m (disingkat mm)",
BIROKRASI,benda,9,"cara bekerja atau susunan pekerjaan yang banyak liku-likunya, menurut tata aturan (adat da",
INTERAKSI,benda,9,"hal saling melakukan aksi, berhubungan, memengaruhi; antarhubungan",
MINORITAS,benda,9,golongan sosial yang jumlah warganya jauh lebih kecil jika dibandingkan dengan golongan la,
MORALITAS,benda,9,"sopan santun, segala sesuatu yang berhubungan dengan etiket atau adat sopan santun",
KAMUFLASE,benda,9,"perubahan bentuk, rupa, sikap, warna, dan sebagainya menjadi lain agar tidak dikenali; pen",
TRANSFUSI,benda,9,pemindahan atau pemasukan obat atau darah dan sebagainya kepada orang yang memerlukan,
FISIKAWAN,benda,9,ahli fisika,
KEPOMPONG,benda,9,bakal serangga (kupu-kupu) yang berada dalam stadium (kehidupan) ketiga sebelum berubah be,
FINLANDIA,benda,9,"negara yang terletak di Eropa Utara, beribu kota Helsinki",
ANTARIKSA,benda,9,bagian alam semesta yang berada di luar atmosfer bumi,
INFANTERI,benda,9,angkatan bersenjata yang termasuk dalam kesatuan pasukan berjalan kaki,
PUBLIKASI,benda,9,pengumuman,
PARAMETER,benda,9,keadaan yang membatasi bagaimana sesuatu dilakukan atau apa yang dapat dilakukan,
ASTROLOGI,benda,9,ilmu perbintangan yang dipakai untuk meramal dan mengetahui nasib orang; nujum,
NAVIGATOR,benda,9,orang yang melakukan navigasi,
SELENDANG,benda,9,kain untuk menggendong dan sebagainya,
AKOMODASI,benda,9,kamar atau ruang tempat tinggal awak kapal atau penumpang kapal,
EFISIENSI,benda,9,"kemampuan menjalankan tugas dengan baik dan tepat (dengan tidak membuang waktu, tenaga, bi",
GELANDANG,aksi,9,seret,
ALUMINIUM,benda,9,"logam putih perak, ringan, dan mulur; unsur dengan nomor atom 13, lambang Al dan bobot ato",
ANTIVIRUS,benda,9,program untuk melindungi komputer dari serangan virus,
MARIYUANA,benda,9,"tumbuhan semak, daunnya mengandung zat yang memabukkan; ganja2",
MIKROSKOP,benda,9,alat untuk melihat benda yang tidak dapat dilihat dengan mata telanjang (seperti kuman-kum,
SUPERNOVA,benda,9,bintang meledak berukuran besar,
AKUNTANSI,benda,9,hal yang berkaitan dengan akuntan,
HIBERNASI,benda,9,tidak aktif; mati sementara untuk menghemat baterai,
KELONTONG,benda,9,"barang-barang untuk keperluan sehari-hari seperti sabun, sikat gigi, gelas, cangkir, mangk",
KONTRAKSI,benda,9,tarik-menarik antara atom dalam sebuah molekul,
SIRKULASI,benda,9,peredaran,
PERMADANI,benda,9,"hamparan (karpet) yang dianyam dari bulu domba dan sebagainya, biasanya berbunga-bunga; am",
KORPORASI,benda,9,badan usaha yang sah; badan hukum,
INSTALASI,benda,9,proses menyiapkan sistem komputer baru,
MAHAKARYA,benda,9,karya besar; karya gemilang,
PALESTINA,benda,9,"negara di Timur Tengah, ibu kotanya Yerusalem",
PLUTONIUM,benda,9,"unsur logam radioaktif dengan nomor atom 94, lambang Pu, dan bobot atom 242",
PROYEKTOR,benda,9,alat untuk membuat proyeksi,
SAMARINDA,benda,9,"ibu kota Provinsi Kalimantan Timur, terkenal dengan sebutan Kota Tepian",
LITERATUR,benda,9,"bahan bacaan yang digunakan dalam berbagai aktivitas, baik secara intelektual maupun rekre",
NOSTALGIA,benda,9,kenangan manis pada masa yang telah lama silam,
PNEUMONIA,benda,9,penyakit radang paru-paru,
REFORMASI,benda,9,"perubahan secara drastis untuk perbaikan (bidang sosial, politik, atau agama) dalam suatu",
PUNTIANAK,benda,9,hantu perempuan (suka mengambil anak kecil atau mengganggu wanita yang melahirkan),
PESTISIDA,benda,9,zat yang beracun untuk membunuh hama; racun pembasmi hama; racun hama,
KOMODITAS,benda,9,barang dagangan utama; benda niaga,
TRANSKRIP,benda,9,salinan,
APRESIASI,benda,9,kesadaran terhadap nilai seni dan budaya,
DIPLOMASI,benda,9,pengetahuan dan kecakapan dalam hal perhubungan antara negara dan negara,
TEMPURUNG,benda,9,yang menyerupai tempurung,
GUATEMALA,benda,9,"negara yang terletak di Amerika Tengah, beribu kota Guatemala",
PRASMANAN,benda,9,cara menjamu makan dengan mempersilakan tamu mengambil dan memilih sendiri hidangan yang s,
BOLLYWOOD,benda,9,"industri film India, berbasis di Mumbai (Bombay)",
ANTARMUKA,benda,9,hubungan atau batasan umum antara dua unit atau alat,
EKOSISTEM,benda,9,"komunitas organik yang terdiri atas tumbuhan dan hewan, bersama habitatnya",
PENETRASI,benda,9,penerobosan; penembusan; perembesan,
PSIKIATRI,benda,9,cabang (spesialisasi) ilmu kedokteran yang berhubungan dengan penyakit jiwa,
ULTIMATUM,benda,9,peringatan atau tuntutan yang terakhir dengan diberi batas waktu untuk menjawabnya; pering,
SUBSTANSI,benda,9,unsur; zat,
KAPITALIS,benda,9,kaum bermodal; orang yang bermodal besar; golongan atau orang yang sangat kaya,
MAGNESIUM,benda,9,unsur logam berwarna putih perak yang diperoleh dari elektrolisis; unsur dengan nomor atom,
AUTOPILOT,benda,9,pilot otomatis,
BENDAHARA,benda,9,perdana menteri; wazir,
RESTORASI,benda,9,gerbong kereta api yang dijadikan restoran,
ILUSTRASI,benda,9,"gambar, desain, atau diagram untuk penghias (halaman sampul dan sebagainya)",
KAFETARIA,benda,9,"restoran yang menyajikan aneka masakan, makanan, dan minuman di gerai (biasanya dengan sis",
HIEROGLIF,benda,9,"tulisan dan abjad Mesir Kuno, yang terdiri atas 700 gambar dan lambang dalam bentuk manusi",
IMPLIKASI,benda,9,keterlibatan atau keadaan terlibat,
PARKINSON,benda,9,"penyakit saraf kronis yang berkembang pada orang yang lanjut usia, ditandai dengan gemetar",
REKRUTMEN,benda,9,"perekrutan, misalnya tenaga kerja",
PROTESTAN,benda,9,penganut Protestanisme,
TAEKWONDO,benda,9,olahraga bela diri berasal dari Korea,
ELIMINASI,benda,9,penyisihan,
PROVOKASI,benda,9,perbuatan untuk membangkitkan kemarahan; tindakan menghasut; penghasutan; pancingan,
VAKSINASI,benda,9,penanaman bibit penyakit (misalnya cacar) yang sudah dilemahkan ke dalam tubuh manusia ata,
INDIKATOR,benda,9,sesuatu yang dapat memberikan (menjadi) petunjuk atau keterangan,
ANDROMEDA,benda,9,"galaksi spiral besar yang berisi sekitar satu trilyun bintang dan berjarak 2,5 juta tahun",
OPTIMISME,benda,9,paham (keyakinan) atas segala sesuatu dari segi yang baik dan menyenangkan; sikap selalu m,
KURIKULUM,benda,9,perangkat mata kuliah mengenai bidang keahlian khusus,
DEPORTASI,benda,9,"pembuangan, pengasingan, atau pengusiran seseorang ke luar suatu negeri sebagai hukuman, a",
KONDEKTUR,benda,9,"orang yang memeriksa karcis atau menarik ongkos dan sebagainya (di kereta api, bus)",
BARBARIAN,benda,9,orang atau kelompok barbar,
KOMUNISME,benda,9,"paham atau ideologi (dalam bidang politik) yang menganut ajaran Karl Marx, yang hendak men",
SEPARATIS,benda,9,orang (golongan) yang menghendaki pemisahan diri dari suatu persatuan; golongan (bangsa) u,
KALIGRAFI,benda,9,seni menulis indah dengan pena,
EDITORIAL,benda,9,artikel dalam surat kabar atau majalah yang mengungkapkan pendirian editor atau pimpinan s,
PROYEKTIL,benda,9,benda yang ditembakkan dengan meriam dan sebagainya,
PURWARUPA,benda,9,rupa yang pertama; rupa awal,
LOKOMOTIF,benda,9,kepala kereta api (yang menarik gerbong kereta),
BABILONIA,benda,9,"kota kuno yang terletak di sebelah selatan Mesopotamia (sekarang Irak), di wilayah Sumeria",
NIKARAGUA,benda,9,"negara yang terletak di Amerika Tengah, beribu kota Managua",
KALIBRASI,benda,9,tanda-tanda yang menyatakan pembagian skala,
PENISILIN,benda,9,"antibiotik yang dihasilkan oleh beberapa jenis jamur, Penicillium notatum dan Penicillin c",
KUANTITAS,benda,9,banyaknya (benda dan sebagainya); jumlah (sesuatu),
MENOPAUSE,benda,9,tidak haid lagi (karena usia lanjut); mati haid,
INKUBATOR,benda,9,perkakas untuk memanaskan bayi yang lahir sebelum waktunya,
ASPARAGUS,benda,9,asparaga,
PROPOSISI,benda,9,rancangan usulan,
MOLEKULER,benda,9,"penghubung berbagai aktivitas pada bagian tubuh tertentu, misalnya gerakan kepala, tangan,",
INTERUPSI,benda,9,"penyelaan atau pemotongan (pembicaraan, pidato, dan sebagainya)",
HARMONIKA,benda,9,alat musik tiup dengan lubang-lubang nada berlidah-lidah yang mengeluarkan bunyi karena li,
REGULATOR,benda,9,alat pengatur,
HEPATITIS,benda,9,radang hati,
AKADEMISI,benda,9,anggota akademi,
ALKOHOLIK,benda,9,orang yang kecanduan alkohol,
PRAMUSAJI,benda,9,orang yang melayani pesanan makanan dan minuman sesuai dengan permintaan,
STIMULASI,benda,9,dorongan; rangsangan,
EKSTREMIS,benda,9,orang yang ekstrem,
DISERTASI,benda,9,karangan ilmiah yang ditulis untuk memperoleh gelar doktor,
RESONANSI,benda,9,"dengungan (gema, getaran) suara",
MELODRAMA,benda,9,pergelaran seni deklamasi yang diiringi musik,
REALISASI,benda,9,wujud; kenyataan; pelaksanaan yang nyata,
SUBMARINE,benda,9,kapal selam,
TELEMETRI,benda,9,"cara mengukur dari jauh, biasanya dengan bantuan peranti komunikasi",
DETASEMEN,benda,9,satuan tentara atau polisi yang berada di suatu tempat untuk menjalankan tugas yang bersif,
KUKURUYUK,benda,9,tiruan bunyi ayam berkokok,
DIREKTORI,benda,9,katalog dokumen atau berkas yang berada dalam diska komputer,
GENDERANG,benda,9,tambur,
INKARNASI,benda,9,perwujudan makhluk halus dalam bentuk yang nyata,
MERKURIUS,benda,9,dewa dagang dan keuntungan bagi bangsa Romawi,
RELAKSASI,benda,9,"pengenduran, pemanjangan (tentang otot)",
SIMULATOR,benda,9,alat untuk melakukan simulasi; alat yang dapat menyimulasikan,
EKSTERIOR,benda,9,"bagian luar (rumah, gedung, dan sebagainya)",
RADIOLOGI,benda,9,ilmu tentang radioaktif,
KAPASITOR,benda,9,peranti elektrik yang terdiri atas dua penghantar dan disekat di antaranya dengan dielektr,
PRESENTER,benda,9,pewara,
LOKAKARYA,benda,9,pertemuan antara para ahli (pakar) untuk membahas masalah praktis atau yang bersangkutan d,
MANUSKRIP,benda,9,naskah tulisan tangan yang menjadi kajian filologi,
BERONDONG,aksi,9,tembak beruntun,
AKUMULASI,benda,9,pengumpulan; penimbunan; penghimpunan,
DEKORATOR,benda,9,orang yang mengerjakan dekorasi; penghias panggung teater,
SARASWATI,benda,9,"dewi pelindung atau pelimpah pengetahuan, kesadaran, dan sastra; sakti Dewa Brahma",
DESTROYER,benda,9,perusak; penghancur,
IDEALISME,benda,9,"hidup atau berusaha hidup menurut cita-cita, menurut patokan yang dianggap sempurna",
SUPREMASI,benda,9,kekuasaan tertinggi (teratas),
DISFUNGSI,benda,9,perihal tidak berfungsi secara normal atau terganggu fungsinya,
FISIOLOGI,benda,9,"cabang biologi yang berkaitan dengan fungsi dan kegiatan kehidupan atau zat hidup (organ,",
KOSMOLOGI,benda,9,ilmu (cabang dari metafisika) yang menyelidiki alam semesta sebagai sistem yang beraturan,
MANIFESTO,benda,9,pernyataan terbuka tentang tujuan dan pandangan seseorang atau suatu kelompok,
TRAMPOLIN,benda,9,kerangka ulet dan lentur yang digunakan oleh seorang akrobat untuk meloncat-loncat,
TARANTULA,benda,9,salah satu spesies laba-laba besar dan berbisa,
VITALITAS,benda,9,kemampuan untuk bertahan hidup; daya hidup,
PEDOFILIA,benda,9,kelainan seksual yang menjadikan anak-anak sebagai objek seksual,
KOMPRESOR,benda,9,alat berupa pompa untuk meninggikan tekanan,
SIMBIOSIS,benda,9,keadaan hidup bersama secara erat antara dua organisme yang berbeda,
DEGRADASI,benda,9,"penurunan (tentang pangkat, mutu, moral, dan sebagainya); kemunduran; kemerosotan",
ESKALATOR,benda,9,tangga dengan anak-anak tangga yang bergerak naik atau turun sebagai bagian dari rangkaian,
SEKURITAS,benda,9,surat berharga,
KONFUSIUS,benda,9,"nama lain dari Kong Fu-tze, orang bijak dan filsuf Tiongkok, ajarannya berkembang menjadi",
OPORTUNIS,benda,9,orang yang menganut paham oportunisme,
FLUKTUASI,benda,9,ketaktetapan; kegoncangan,
INTEGRASI,benda,9,pembauran hingga menjadi kesatuan yang utuh atau bulat,
OKULTISME,benda,9,kajian tentang kekuatan gaib,
TEORETISI,benda,9,perumus atau pengembang teori,
KALKULASI,benda,9,"perincian biaya, ongkos, atau pengeluaran; perhitungan",
PRIMADONA,benda,9,penyanyi wanita yang pertama atau utama dalam pertunjukan opera,
MOTIVATOR,benda,9,petugas yang ditunjuk untuk memberikan penerangan dan motivasi kepada calon akseptor kelua,
INHIBITOR,benda,9,"zat yang berfungsi menghambat (menghentikan) reaksi, misalnya dengan mengotori permukaan k",
PARADIGMA,benda,9,kerangka berpikir,
TRANSLASI,benda,9,pemindahan semua titik di dalam bidang tertentu pada jarak dan arah yang sama,
POLARITAS,benda,9,hal pertentangan langsung,
INFLUENZA,benda,9,radang selaput lendir pada rongga hidung (yang menyebabkan demam); penyakit demam yang mud,
PEROKSIDA,benda,9,"oksida yang mempunyai ikatan -o-o- yang bereaksi dengan asam, menghasilkan hidrogen peroks",
RETRIBUSI,benda,9,pungutan uang oleh pemerintah (kota praja dan sebagainya) sebagai balas jasa,
EKSEMPLAR,benda,9,lembar; helai,
REPLIKASI,benda,9,kemampuan virus memperbanyak diri,
DIAFRAGMA,benda,9,sekat antara rongga dada dan rongga perut (pada tubuh),
LEGALITAS,benda,9,perihal (keadaan) sah; keabsahan,
MUJAHIDIN,benda,9,para mujahid,
SOSIOLOGI,benda,9,"pengetahuan atau ilmu tentang sifat, perilaku, dan perkembangan masyarakat; ilmu tentang s",
DISLEKSIA,benda,9,gangguan pada penglihatan dan pendengaran yang disebabkan oleh kelainan saraf pada otak se,
MEGAHERTZ,benda,9,satuan jumlah gelombang yang setara dengan satu juta hertz disingkat MHz,
SEROTONIN,benda,9,zat kimia yang berasal dari asam amino yang didistribusikan dalam jaringan,
RESPONDEN,benda,9,penjawab (atas pertanyaan yang diajukan untuk kepentingan penelitian),
BENDERANG,benda,9,tombak yang tangkainya dihiasi dengan bulu kambing (sebagai tanda kebesaran); tombak bende,
PEKANBARU,benda,9,"ibu kota Provinsi Riau, terkenal dengan sebutan Kota Bertuah",
RELEVANSI,benda,9,hubungan; kaitan,
FEMINISME,benda,9,gerakan perempuan yang menuntut persamaan hak sepenuhnya antara kaum perempuan dan laki-la,
SOSIALITA,benda,9,orang penting atau sosok yang berpengaruh,
REKLAMASI,benda,9,pengurukan (tanah),
POLINESIA,benda,9,sekelompok pulau yang tersebar di Samudra Pasifik bagian tengah dan selatan,
TERMOSTAT,benda,9,alat untuk mengatur suhu secara otomatis yang bekerja karena perubahan suhu,
DISLOKASI,benda,9,perubahan atau pemindahan lokasi,
MONOKSIDA,benda,9,"senyawa yang mengandung atom oksigen tunggal, seperti karbon monoksida",
DEFORMASI,benda,9,perubahan bentuk atau wujud dari yang baik menjadi kurang baik,
PENTAGRAM,benda,9,bintang bersudut lima,
TOPOGRAFI,benda,9,keadaan muka bumi pada suatu kawasan atau daerah,
VENTRIKEL,benda,9,rongga kecil,
RESERVOIR,benda,9,danau atau waduk yang digunakan untuk menyimpan air,
KONSENSUS,benda,9,"kesepakatan kata atau permufakatan bersama (mengenai pendapat, pendirian, dan sebagainya)",
DISPOSISI,benda,9,"kecenderungan untuk mendapatkan suatu penyakit, kelainan temperamen atau kelainan watak",
RENAISANS,benda,9,masa peralihan dari Abad Pertengahan ke abad modern di Eropa (abad ke-14�ke-17) yang ditan,
RESTITUSI,benda,9,ganti kerugian; pembayaran kembali,
ARBITRASE,benda,9,usaha perantara dalam meleraikan sengketa,
SELEMPANG,benda,9,"pita lebar tanda pangkat dan sebagainya yang disandangkan di bahu, menyerong di dada ke ar",
NEGARAWAN,benda,9,orang yang ahli dalam kenegaraan (pemerintahan); pemimpin politik yang secara taat asas me,
FLAMBOYAN,benda,9,"pohon, tinggi hingga 28 m, kayu terasnya keras dan berat, digunakan sebagai tiang dan balo",
PROSTETIK,benda,9,"ilmu bedah yang mempelajari desain, produksi, dan penggunaan bagian tubuh buatan",
KONTINGEN,benda,9,"rombongan (olahragawan, pramuka, pasukan militer, dan sebagainya) yang dikirim untuk berga",
IMUNISASI,benda,9,inokulasi,
GIMNASIUM,benda,9,ruangan besar untuk olahraga,
APARTHEID,benda,9,politik diskriminasi warna kulit yang diterapkan (dahulu) oleh negara Afrika Selatan antar,
NEUROLOGI,benda,9,"ilmu tentang urat saraf, terutama tentang penyakit urat saraf",
KRIOGENIK,benda,9,pengetahuan tentang suhu yang sangat rendah,
KOMPUTASI,benda,9,penghitungan dengan menggunakan komputer,
KONDENSOR,benda,9,peralatan listrik pada mesin mobil,
KUSTODIAN,benda,9,"pihak pemberi jasa penitipan efek dan harta lain yang berkaitan dengan efek dan jasa lain,",
ALTIMETER,benda,9,alat untuk mengukur ketinggian atau tinggi suatu tempat dari permukaan bumi berdasarkan te,
